GKZ,Gebietsname,Wahlberechtigte,Abgegebene,Ungültige,Gültige,ÖVP,%,SPÖ,%.1,FPÖ,%.2,GRÜNE,%.3,NEOS,%.4,BIER,%.5,MFG,%.6,BGE,%.7,LMP,%.8,GAZA,%.9,KPÖ,%.10,KEINE,%.11
G31649,Staatz,1641,1401,23,1378,553,40.13,214,15.52,414,30.04,56,4.06,75,5.44,28,2.03,1.0,0.07,,0.0,3,0.21,0.0,0.0,29,2.1,5,0.36
G31650,Stronsdorf,1273,1090,9,1081,471,43.57,97,8.97,384,35.52,36,3.33,54,4.99,13,1.2,2.0,0.18,,0.0,5,0.46,1.0,0.09,13,1.2,5,0.46
G31651,Ulrichskirchen-Schleinbach,2100,1720,26,1694,521,30.75,352,20.77,429,25.32,142,8.38,172,10.15,38,2.24,1.0,0.05,,0.0,11,0.64,0.0,0.0,15,0.88,13,0.76
G31652,Unterstinkenbrunn,464,396,3,393,191,48.6,39,9.92,108,27.48,6,1.52,33,8.39,11,2.79,0.0,0.0,,0.0,0,0.0,0.0,0.0,4,1.01,1,0.25
G31653,Wildendürnbach,1212,985,16,969,502,51.8,73,7.53,267,27.55,34,3.5,59,6.08,20,2.06,0.0,0.0,,0.0,0,0.0,0.0,0.0,8,0.82,6,0.61
G31654,Wilfersdorf,1683,1377,18,1359,445,32.74,234,17.21,467,34.36,50,3.67,91,6.69,29,2.13,5.0,0.36,,0.0,14,1.03,0.0,0.0,15,1.1,9,0.66
G31655,Wolkersdorf im Weinviertel,5711,4694,35,4659,1504,32.28,819,17.57,925,19.85,627,13.45,472,10.13,131,2.81,13.0,0.27,,0.0,46,0.98,9.0,0.19,75,1.6,38,0.81
G31658,Ottenthal,446,389,4,385,224,58.18,34,8.83,83,21.55,5,1.29,16,4.15,10,2.59,2.0,0.51,,0.0,3,0.77,0.0,0.0,4,1.03,4,1.03
G31699,Wahlkarten - Mistelbach,0,1221,18,1203,336,27.93,223,18.53,286,23.77,103,8.56,137,11.38,53,4.4,9.0,0.74,,0.0,8,0.66,0.0,0.0,31,2.57,17,1.41
G31700,Mödling,89546,73937,477,73460,20336,27.68,15767,21.46,15411,20.97,7753,10.55,10546,14.35,1315,1.79,184.0,0.25,,0.0,491,0.66,186.0,0.25,1135,1.54,336,0.45
G31701,Achau,1243,977,13,964,206,21.36,245,25.41,275,28.52,74,7.67,124,12.86,17,1.76,0.0,0.0,,0.0,6,0.62,4.0,0.41,6,0.62,7,0.72
G31702,Biedermannsdorf,2377,1977,16,1961,605,30.85,391,19.93,445,22.69,183,9.33,259,13.2,25,1.27,6.0,0.3,,0.0,21,1.07,0.0,0.0,21,1.07,5,0.25
G31703,Breitenfurt bei Wien,4647,3777,34,3743,1123,30.0,723,19.31,747,19.95,415,11.08,570,15.22,54,1.44,11.0,0.29,,0.0,33,0.88,2.0,0.05,47,1.25,18,0.48
G31704,Brunn am Gebirge,8786,7025,38,6987,1806,25.84,1703,24.37,1435,20.53,715,10.23,977,13.98,119,1.7,14.0,0.2,,0.0,44,0.62,17.0,0.24,117,1.67,40,0.57
G31706,Gaaden,1281,1109,9,1100,335,30.45,187,17.0,188,17.09,126,11.45,200,18.18,26,2.36,8.0,0.72,,0.0,5,0.45,0.0,0.0,22,2.0,3,0.27
G31707,Gießhübl,1815,1533,5,1528,487,31.87,239,15.64,259,16.95,168,10.99,310,20.28,24,1.57,2.0,0.13,,0.0,15,0.98,4.0,0.26,18,1.17,2,0.13
G31709,Gumpoldskirchen,2996,2484,20,2464,678,27.51,562,22.8,506,20.53,250,10.14,354,14.36,42,1.7,4.0,0.16,,0.0,18,0.73,6.0,0.24,32,1.29,12,0.48
G31710,Guntramsdorf,6836,5357,43,5314,1297,24.4,1574,29.61,1274,23.97,368,6.92,547,10.29,93,1.75,9.0,0.16,,0.0,24,0.45,15.0,0.28,87,1.63,26,0.48
G31711,Hennersdorf,1245,1051,11,1040,303,29.13,222,21.34,293,28.17,94,9.03,86,8.26,16,1.53,1.0,0.09,,0.0,3,0.28,3.0,0.28,15,1.44,4,0.38
G31712,Hinterbrühl,2856,2347,14,2333,758,32.49,348,14.91,479,20.53,257,11.01,390,16.71,43,1.84,2.0,0.08,,0.0,20,0.85,3.0,0.12,29,1.24,4,0.17
