GKZ,Gebietsname,"Wahl-
berechtigte",Stimmen,Unnamed: 4,Unnamed: 5,Dr. Michael Brunner,%,Gerald Grosz,%.1,Dr. Walter Rosenkranz,%.2,Heinrich Staudinger,%.3,Dr. Alexander Van der Bellen,%.4,Dr. Tassilo Wallentin,%.5,Dr. Dominik Wlazny,%.6
,,,Abgegeb.,Ungültige,Gültige,,,,,,,,,,,,,,
G10617,Baumgarten,699.0,457,12,445,8.0,1.7977528089887642,29.0,6.51685393258427,58.0,13.03370786516854,1.0,0.22471910112359553,264.0,59.325842696629216,43.0,9.662921348314606,42.0,9.438202247191011
G10618,Zemendorf-Stöttera,1010.0,632,33,599,7.0,1.1686143572621035,23.0,3.8397328881469113,63.0,10.51752921535893,3.0,0.5008347245409015,400.0,66.7779632721202,60.0,10.01669449081803,43.0,7.178631051752922
G10619,Krensdorf,485.0,324,13,311,14.0,4.501607717041801,21.0,6.752411575562702,49.0,15.755627009646304,2.0,0.6430868167202572,167.0,53.69774919614147,26.0,8.360128617363344,32.0,10.289389067524116
G10699,Wahlkarten - Mattersburg,0.0,2488,48,2440,50.0,2.0491803278688523,103.0,4.221311475409836,233.0,9.549180327868854,32.0,1.3114754098360655,1565.0,64.13934426229508,218.0,8.934426229508198,239.0,9.795081967213115
G10700,Neusiedl am See,45476.0,31745,981,30764,519.0,1.6870367962553634,1819.0,5.912755168378625,5626.0,18.287608893511898,278.0,0.9036536211155897,15521.0,50.4518268105578,3774.0,12.267585489533221,3227.0,10.489533220647509
G10701,Andau,1888.0,1217,57,1160,26.0,2.2413793103448274,69.0,5.948275862068965,307.0,26.46551724137931,12.0,1.0344827586206897,443.0,38.189655172413794,201.0,17.32758620689655,102.0,8.793103448275861
G10702,Apetlon,1502.0,942,40,902,11.0,1.2195121951219512,57.0,6.319290465631928,171.0,18.957871396895786,2.0,0.22172949002217296,470.0,52.106430155210646,97.0,10.753880266075388,94.0,10.42128603104213
G10703,Bruckneudorf,2341.0,1397,39,1358,28.0,2.0618556701030926,92.0,6.774668630338733,290.0,21.354933726067745,8.0,0.5891016200294551,625.0,46.02356406480118,141.0,10.382916053019146,174.0,12.812960235640647
G10704,Deutsch Jahrndorf,447.0,296,14,282,6.0,2.127659574468085,14.0,4.964539007092199,61.0,21.631205673758867,3.0,1.0638297872340425,136.0,48.226950354609926,33.0,11.702127659574469,29.0,10.28368794326241
G10705,Frauenkirchen,2332.0,1312,50,1262,27.0,2.13946117274168,103.0,8.161648177496037,245.0,19.41362916006339,11.0,0.8716323296354992,567.0,44.92868462757528,150.0,11.885895404120443,159.0,12.599049128367671
G10706,Gattendorf,975.0,631,18,613,14.0,2.2838499184339316,41.0,6.688417618270799,136.0,22.185970636215334,4.0,0.6525285481239804,299.0,48.776508972267536,72.0,11.745513866231647,47.0,7.6672104404567705
G10707,Gols,3217.0,2081,101,1980,42.0,2.1212121212121215,101.0,5.101010101010101,397.0,20.05050505050505,23.0,1.1616161616161615,899.0,45.4040404040404,259.0,13.080808080808081,259.0,13.080808080808081
G10708,Halbturn,1583.0,1053,28,1025,13.0,1.2682926829268293,61.0,5.951219512195122,176.0,17.170731707317074,14.0,1.3658536585365855,515.0,50.24390243902439,130.0,12.682926829268293,116.0,11.317073170731708
G10709,Illmitz,1997.0,1341,60,1281,14.0,1.092896174863388,55.0,4.29352068696331,211.0,16.47150663544106,5.0,0.39032006245121,701.0,54.722872755659644,170.0,13.27088212334114,125.0,9.758001561280249
G10710,Jois,1262.0,773,14,759,15.0,1.9762845849802373,57.0,7.5098814229249005,134.0,17.654808959156785,6.0,0.7905138339920948,347.0,45.718050065876156,112.0,14.756258234519104,88.0,11.594202898550725
G10711,Kittsee,1452.0,855,25,830,12.0,1.4457831325301205,41.0,4.9397590361445785,150.0,18.072289156626507,5.0,0.6024096385542169,442.0,53.25301204819277,110.0,13.253012048192772,70.0,8.433734939759036
G10712,Mönchhof,1805.0,1082,26,1056,17.0,1.6098484848484849,48.0,4.545454545454546,220.0,20.833333333333336,13.0,1.231060606060606,510.0,48.29545454545455,129.0,12.215909090909092,119.0,11.268939393939394
